iter	RMSE
0	683.5889648
1	668.5131653
2	652.8888651
3	638.7604488
4	624.958648
5	611.9320488
6	599.9750962
7	587.9785718
8	576.3938035
9	565.2174456
10	554.0107413
11	543.448657
12	533.4885817
13	523.6923003
14	516.136417
15	507.5578756
16	499.3149388
17	491.3275739
18	482.9244985
19	474.9714946
20	467.263268
21	460.1781423
22	453.8381994
23	447.1309593
24	441.4089443
25	436.2519303
26	430.8831692
27	425.7290126
28	420.0327768
29	414.7269639
30	410.500738
31	406.3747674
32	401.5317768
33	397.1343205
34	392.5694938
35	388.4908765
36	384.9303923
37	381.2515601
38	377.913855
39	373.6582392
40	370.2267715
41	366.7126801
42	363.0348851
43	359.6781521
44	356.4812888
45	353.1291987
46	350.6280436
47	347.4678798
48	344.1657139
49	341.3348202
50	339.3152727
51	336.9037018
52	334.5755017
53	332.4528485
54	329.7156248
55	327.8707684
56	325.3663615
57	322.7373454
58	321.1132277
59	318.8506926
60	316.6729906
61	314.6861372
62	313.5222322
63	311.861082
64	310.0277106
65	308.425731
66	306.6864719
67	305.1606004
68	303.7973202
69	301.6922219
70	300.3150053
71	299.1492333
72	297.7072376
73	296.2770877
74	294.5907433
75	293.0676841
76	291.895124
77	290.5104905
78	289.1372363
79	287.9295871
80	286.7609202
81	285.385996
82	283.9178842
83	283.0808451
84	281.865119
85	280.30701
86	279.4178747
87	278.6369906
88	277.3905294
89	276.5905163
90	275.9061827
91	275.1067131
92	274.1043231
93	273.3849661
94	272.5841798
95	271.7900389
96	270.9134947
97	269.9730284
98	268.869767
99	268.4183886
100	267.8825183
101	267.0920862
102	266.108706
103	265.3390718
104	264.6196098
105	263.1330032
106	262.0305345
107	261.3242004
108	260.413214
109	259.7824324
110	258.8428254
111	258.6466023
112	257.7355086
113	256.9318248
114	256.0049403
115	255.4759136
116	254.6508092
117	254.0818577
118	253.1336591
119	252.3752197
120	251.8721004
121	251.2083236
122	250.4282523
123	249.9890814
124	249.3725277
125	248.7392935
126	247.9848319
127	247.5393091
128	246.8374444
129	245.7471227
130	244.6764501
131	244.1767494
132	243.5888665
